"filename", "language", "SCSS", "PHP", "CSS", "JavaScript", "SQL", "HTML", "XML", "comment", "blank", "total"
"e:\Code\htdocs\styles\ct428.scss", "SCSS", 45, 0, 0, 0, 0, 0, 0, 24, 7, 76
"e:\Code\htdocs\styles\main.css", "CSS", 0, 0, 182, 0, 0, 0, 0, 1, 31, 214
"e:\Code\htdocs\styles\main.scss", "SCSS", 167, 0, 0, 0, 0, 0, 0, 0, 8, 175
"e:\Code\htdocs\v2\data\script.sql", "SQL", 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"e:\Code\htdocs\v2\index.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 1, 4, 17
"e:\Code\htdocs\v2\public\scripts\backToTop.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 1, 2, 13
"e:\Code\htdocs\v2\public\scripts\index.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 1, 4, 23
"e:\Code\htdocs\v2\public\styles\about.css", "CSS", 0, 0, 59, 0, 0, 0, 0, 1, 10, 70
"e:\Code\htdocs\v2\public\styles\about.scss", "SCSS", 62, 0, 0, 0, 0, 0, 0, 0, 2, 64
"e:\Code\htdocs\v2\public\styles\buoi2\bai1.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 1, 5, 36
"e:\Code\htdocs\v2\public\styles\buoi2\bai1.scss", "SCSS", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"e:\Code\htdocs\v2\public\styles\buoi2\bai2.css", "CSS", 0, 0, 89, 0, 0, 0, 0, 1, 13, 103
"e:\Code\htdocs\v2\public\styles\buoi2\bai2.scss", "SCSS", 87, 0, 0, 0, 0, 0, 0, 0, 11, 98
"e:\Code\htdocs\v2\public\styles\ct428.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 1, 9, 57
"e:\Code\htdocs\v2\public\styles\ct428.scss", "SCSS", 45, 0, 0, 0, 0, 0, 0, 24, 7, 76
"e:\Code\htdocs\v2\public\styles\main.css", "CSS", 0, 0, 181, 0, 0, 0, 0, 1, 31, 213
"e:\Code\htdocs\v2\public\styles\main.scss", "SCSS", 166, 0, 0, 0, 0, 0, 0, 0, 8, 174
"e:\Code\htdocs\v2\site\action\404.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"e:\Code\htdocs\v2\site\action\about\index.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Code\htdocs\v2\site\action\blog\index.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Code\htdocs\v2\site\action\contact\index.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
